filepath,label
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_DSC_1021_3.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/dogs/ms_10304.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/dogs/ms_2215.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_000000-1_30.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/cats/ms_4752.jpg,cats
f:/Projects/AnimalClassification/data/prepared/cats/ms_9000.jpg,cats
f:/Projects/AnimalClassification/data/prepared/dogs/ms_12271.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/dogs/ms_8798.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/dogs/ms_10915.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/cats/ms_1074.jpg,cats
f:/Projects/AnimalClassification/data/prepared/dogs/hf_train_005502.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/cats/ms_571.jpg,cats
f:/Projects/AnimalClassification/data/prepared/cats/afhq_0817.png,cats
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_DSC_3987.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/dogs/hf_train_007192.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/dogs/afhq_2584.png,dogs
f:/Projects/AnimalClassification/data/prepared/cats/hf_train_004645.jpg,cats
f:/Projects/AnimalClassification/data/prepared/dogs/ms_2563.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/cats/ms_3278.jpg,cats
f:/Projects/AnimalClassification/data/prepared/cats/afhq_5026.png,cats
f:/Projects/AnimalClassification/data/prepared/dogs/hf_train_009764.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/dogs/afhq_4770.png,dogs
f:/Projects/AnimalClassification/data/prepared/cats/ms_3517.jpg,cats
f:/Projects/AnimalClassification/data/prepared/dogs/ms_11399.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/dogs/afhq_5097.png,dogs
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_DSC_2851_2.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/cats/hf_train_004069.jpg,cats
f:/Projects/AnimalClassification/data/prepared/cats/ms_1996.jpg,cats
f:/Projects/AnimalClassification/data/prepared/cats/ms_6244.jpg,cats
f:/Projects/AnimalClassification/data/prepared/cats/afhq_3026.png,cats
f:/Projects/AnimalClassification/data/prepared/dogs/ms_3576.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/cats/ms_2650.jpg,cats
f:/Projects/AnimalClassification/data/prepared/cats/afhq_2583.png,cats
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_DSC_6642.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/cats/ms_7932.jpg,cats
f:/Projects/AnimalClassification/data/prepared/cats/ms_12243.jpg,cats
f:/Projects/AnimalClassification/data/prepared/dogs/ms_5796.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/wildlife/afhq_1069.png,wildlife
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_DSC_7696.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/cats/hf_train_000113.jpg,cats
f:/Projects/AnimalClassification/data/prepared/cats/hf_train_002353.jpg,cats
f:/Projects/AnimalClassification/data/prepared/dogs/ms_1329.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_DSC_4298_1.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/cats/afhq_3195.png,cats
f:/Projects/AnimalClassification/data/prepared/cats/ms_8927.jpg,cats
f:/Projects/AnimalClassification/data/prepared/cats/afhq_1730.png,cats
f:/Projects/AnimalClassification/data/prepared/cats/ms_5780.jpg,cats
f:/Projects/AnimalClassification/data/prepared/dogs/ms_4277.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_000011-2_34.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/dogs/ms_8101.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/cats/afhq_2213.png,cats
f:/Projects/AnimalClassification/data/prepared/dogs/ms_3411.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/cats/ms_2053.jpg,cats
f:/Projects/AnimalClassification/data/prepared/cats/ms_2808.jpg,cats
f:/Projects/AnimalClassification/data/prepared/dogs/afhq_3194.png,dogs
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_DSC_0421_5.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/cats/hf_train_000148.jpg,cats
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_000008-2_5.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/cats/ms_9989.jpg,cats
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_000008-1_34.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/cats/ms_5754.jpg,cats
f:/Projects/AnimalClassification/data/prepared/dogs/afhq_3773.png,dogs
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_img-id926-object-1.png,wildlife
f:/Projects/AnimalClassification/data/prepared/cats/ms_1235.jpg,cats
f:/Projects/AnimalClassification/data/prepared/dogs/ms_14.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/dogs/afhq_1492.png,dogs
f:/Projects/AnimalClassification/data/prepared/dogs/afhq_3895.png,dogs
f:/Projects/AnimalClassification/data/prepared/dogs/ms_6750.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/wildlife/afhq_3035.png,wildlife
f:/Projects/AnimalClassification/data/prepared/dogs/hf_train_009227.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/cats/afhq_1399.png,cats
f:/Projects/AnimalClassification/data/prepared/cats/afhq_2644.png,cats
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_000011-2_23.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/cats/ms_10764.jpg,cats
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_DSC_1594_4.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/cats/ms_4713.jpg,cats
f:/Projects/AnimalClassification/data/prepared/wildlife/afhq_2513.png,wildlife
f:/Projects/AnimalClassification/data/prepared/dogs/afhq_1166.png,dogs
f:/Projects/AnimalClassification/data/prepared/wildlife/afhq_2752.png,wildlife
f:/Projects/AnimalClassification/data/prepared/cats/ms_310.jpg,cats
f:/Projects/AnimalClassification/data/prepared/dogs/ms_9507.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/cats/hf_train_002000.jpg,cats
f:/Projects/AnimalClassification/data/prepared/cats/hf_train_004421.jpg,cats
f:/Projects/AnimalClassification/data/prepared/wildlife/afhq_1357.png,wildlife
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_DSC_4249.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/cats/afhq_0579.png,cats
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_DSC_6046.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/cats/ms_7822.jpg,cats
f:/Projects/AnimalClassification/data/prepared/dogs/ms_6889.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/dogs/afhq_3130.png,dogs
f:/Projects/AnimalClassification/data/prepared/dogs/hf_train_008941.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/cats/ms_3204.jpg,cats
f:/Projects/AnimalClassification/data/prepared/cats/ms_12194.jpg,cats
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_DSC_6235.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/dogs/ms_3781.jpg,dogs
f:/Projects/AnimalClassification/data/prepared/cats/ms_9854.jpg,cats
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_DSC_6844.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/wildlife/afd_000005-1_18.jpg,wildlife
f:/Projects/AnimalClassification/data/prepared/cats/ms_4141.jpg,cats
f:/Projects/AnimalClassification/data/prepared/cats/ms_1113.jpg,cats
